Alive,Pearl Jam,1991,E Standard,Rock Hits 90s + Pearl Jam Song Pack,"January 15, 2013",Rock Hits 90s + Pearl Jam Song Pack,"January 15, 2013"
Juicebox,The Strokes,2006,E Standard,The Strokes,"January 22, 2013",The Strokes,"January 22, 2013"
Last Nite,The Strokes,2001,E Standard,The Strokes,"January 22, 2013",The Strokes,"January 22, 2013"
Reptilia,The Strokes,2003,E Standard,The Strokes,"January 22, 2013",The Strokes,"January 22, 2013"
American Woman,The Guess Who,1970,E Standard,Rock Hits 60s-70s 2,"January 29, 2013",Rock Hits 60s-70s 2,"January 29, 2013"
Born to Be Wild,Steppenwolf,1968,E Standard,Rock Hits 60s-70s 2,"January 29, 2013",Rock Hits 60s-70s 2,"January 29, 2013"
Surrender,Cheap Trick,1978,E Standard,Rock Hits 60s-70s 2,"January 29, 2013",Rock Hits 60s-70s 2,"January 29, 2013"
America's Suitehearts,Fall Out Boy,2008,Drop D,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
"Dance, Dance",Fall Out Boy,2005,E Standard,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
I Don't Care,Fall Out Boy,2008,E Standard,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
"Sugar, We're Goin Down",Fall Out Boy,2005,Drop D,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
Thnks fr th Mmrs,Fall Out Boy,2007,Drop D,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
London Calling,The Clash,1979,E Standard,The Clash,"February 12, 2013",The Clash,"February 12, 2013"
Guns of Brixton,The Clash,1979,E Standard,The Clash,"February 12, 2013",The Clash,"February 12, 2013"
Should I Stay or Should I Go,The Clash,1982,E Standard,The Clash,"February 12, 2013",The Clash,"February 12, 2013"
Black Betty,Ram Jam,1977,E Standard,Rock Hits 70s & 80s,"February 19, 2013",Rock Hits 70s & 80s,"February 19, 2013"
Carry On Wayward Son,Kansas,1976,E Standard,Rock Hits 70s & 80s,"February 19, 2013",Rock Hits 70s & 80s,"February 19, 2013"
You've Got Another Thing Comin',Judas Priest,1982,E Standard,Rock Hits 70s & 80s,"February 19, 2013",Rock Hits 70s & 80s,"February 19, 2013"
Wish You Were Here,Incubus,2001,E Standard,Incubus,"February 26, 2013",Incubus,"February 26, 2013"
Anna Molly,Incubus,2006,E Standard,Incubus,"February 26, 2013",Incubus,"February 26, 2013"
Love Hurts,Incubus,2008,E Standard,Incubus,"February 26, 2013",Incubus,"February 26, 2013"
Burnin' For You,Blue Öyster Cult,1981,E Standard,Rock Hits 80s 2 + Blue Öyster Cult Song Pack,"March 5, 2013",Rock Hits 80s 2 + Blue Öyster Cult Song Pack,"March 5, 2013"
Blister in the Sun,Violent Femmes,1983,E Standard,Rock Hits 80s 2,"March 5, 2013",Rock Hits 80s 2,"March 5, 2013"
Cult of Personality,Living Colour,1988,E Standard,Rock Hits 80s 2,"March 5, 2013",Rock Hits 80s 2,"March 5, 2013"
Lovesong,The Cure,1989,E Standard,The Cure Song Pack,"March 19, 2013",The Cure Song Pack,"March 19, 2013"
Just Like Heaven,The Cure,1987,E Standard,The Cure Song Pack,"March 19, 2013",The Cure Song Pack,"March 19, 2013"
The End of the World,The Cure,2004,E Standard: A445,The Cure Song Pack,"March 19, 2013",The Cure Song Pack,"March 19, 2013"
Have You Ever Seen the Rain,Creedence Clearwater Revival,1970,E Standard,Rock Hits 1970s 2,02.04.13,Rock Hits 1970s 2,02.04.13
Southbound,The Allman Brothers Band,1973,E Standard,Rock Hits 1970s 2 + The Allman Brothers Band pack,02.04.13,Rock Hits 1970s 2 + The Allman Brothers Band pack,02.04.13
Ballroom Blitz,Sweet,1973,E Standard,Rock Hits 1970s 2,02.04.13,Rock Hits 1970s 2,02.04.13
Get Free,The Vines,2002,E Standard,Rock Hits 00's,16.04.13,Rock Hits 00s,16.04.13
The Good Left Undone,Rise Against,2007,E♭ Standard,Rock Hits 00's,16.04.13,Rock Hits 00s,16.04.13
Float On,Modest Mouse,2004,E Standard,Rock Hits 00's,16.04.13,Rock Hits 00's,16.04.13
White Wedding,Billy Idol,1982,E Standard,Rock Hits 80s 3,30.04.13,Rock Hits 80s 3,30.04.13
Eye Of The Tiger,Survivor,1982,E Standard,Rock Hits 80s 3,30.04.13,Rock Hits 80s 3,30.04.13
Here Comes Your Man,The Pixies,1989,E Standard,Rock Hits 80s 3,30.04.13,Rock Hits 80s 3,30.04.13
Misery,Maroon 5,2011,E Standard,Maroon 5 Pack,"May 14, 2013",Maroon 5 Pack,"May 14, 2013"
Harder to Breathe,Maroon 5,2002,E Standard,Maroon 5 Pack,"May 14, 2013",Maroon 5 Pack,"May 14, 2013"
She Will Be Loved,Maroon 5,2002,E Standard,Maroon 5 Pack,"May 14, 2013",Maroon 5 Pack,"May 14, 2013"
Call Me,Blondie,1980,E Standard,Rock Hits '80's #4,"May 28, 2013",Rock Hits '80's #4,"May 28, 2013"
867-5309/Jenny,Tommy Tutone,1982,E Standard,Rock Hits '80's #4,"May 28, 2013",Rock Hits '80's #4,"May 28, 2013"
Jessie's Girl,Rick Springfield,1981,E Standard,Rock Hits '80's #4,"May 28, 2013",Rock Hits '80's #4,"May 28, 2013"
25 or 6 to 4,Chicago,1970,E Standard,None,"October 22, 2013",None,
The Sky Is Crying,Albert King,1969,E Standard,None,"October 22, 2013",None,
Cherub Rock,The Smashing Pumpkins,1993,E Standard,None,"October 22, 2013",None,
Elephant,Tame Impala,2012,D Standard,None,"October 22, 2013",None,
"Mind Eraser, No Chaser",Them Crooked Vultures,2009,E Standard,None,"October 22, 2013",None,
Hate To Say I Told You So,The Hives,2000,E Standard,None,"October 22, 2013",None,
My God Is the Sun,Queens Of The Stone Age,2013,E Standard,None,"October 22, 2013",None,
Ho Hey,The Lumineers,2012,E Standard,None,"October 22, 2013",None,
1979,The Smashing Pumpkins,1996,E♭ Standard,The Smashing Pumpkins Song Pack,"October 29, 2013",None,
"Tonight, Tonight",The Smashing Pumpkins,1996,E♭ Standard,The Smashing Pumpkins Song Pack,"October 29, 2013",None,
Today,The Smashing Pumpkins,1993,E Standard,The Smashing Pumpkins Song Pack,"October 29, 2013",None,
Disarm,The Smashing Pumpkins,1994,E Standard,The Smashing Pumpkins Song Pack,"October 29, 2013",None,
Bullet with Butterfly Wings,The Smashing Pumpkins,1995,E♭ Standard,The Smashing Pumpkins Song Pack,"October 29, 2013",None,
Aces High,Iron Maiden,1984,E Standard,Iron Maiden Song Pack,05.11.13,None,
2 Minutes To Midnight,Iron Maiden,1984,E Standard,Iron Maiden Song Pack,05.11.13,None,
Fear of the Dark,Iron Maiden,1993,E Standard,Iron Maiden Song Pack,05.11.13,None,
The Number of the Beast,Iron Maiden,1982,E Standard,Iron Maiden Song Pack,05.11.13,None,
Run to the Hills,Iron Maiden,1982,E Standard,Iron Maiden Song Pack,05.11.13,None,
Thrill,Hotei,1995,E Standard,Hotei Song Pack,05.11.13,None,
Battle Without Honor or Humanity,Hotei,2003,E Standard,Hotei Song Pack,05.11.13,None,
Bambina,Hotei,1999,E Standard,Hotei Song Pack,05.11.13,None,
Check My Brain,Alice in Chains,2009,E♭ Standard,Alice in Chains Song Pack,12.11.13,None,
Hollow,Alice in Chains,2012,E♭ Drop D♭,Alice in Chains Song Pack,12.11.13,None,
Man in the Box,Alice in Chains,1991,E♭ Standard,Alice in Chains Song Pack,12.11.13,None,
Them Bones,Alice in Chains,1992,E♭ Drop D♭,Alice in Chains Song Pack,12.11.13,None,
Would?,Alice in Chains,1992,E♭ Standard,Alice in Chains Song Pack,12.11.13,None,
American Idiot,Green Day,2004,E Standard,Green Day Song Pack,19.11.13,None,
Basket Case,Green Day,1994,E♭ Standard,Green Day Song Pack,19.11.13,None,
Oh Love,Green Day,2012,E Standard,Green Day Song Pack,19.11.13,None,
"Easy Come, Easy Go!",B'z,1990,E Standard,B'z Song Pack,19.11.13,None,
Giri Giri chop,B'z,1999,E Standard,B'z Song Pack,19.11.13,None,
juice,B'z,2000,E Standard,B'z Song Pack,19.11.13,None,
My Iron Lung,Radiohead,1994,EGDGBD,Radiohead Song Pack,26.11.13,None,
Creep,Radiohead,1992,E Standard,Radiohead Song Pack,26.11.13,None,
Karma Police,Radiohead,1997,E Standard,Radiohead Song Pack,26.11.13,None,
Optimistic,Radiohead,2000,DADFCd,Radiohead Song Pack,26.11.13,None,
Just,Radiohead,1995,E Standard,Radiohead Song Pack,26.11.13,None,
Baba O'Riley,The Who,1971,E Standard: A454,The Who Song Pack,"December 3, 2013",None,
Behind Blue Eyes,The Who,1971,E Standard: A447,The Who Song Pack,"December 3, 2013",None,
Who Are You,The Who,1978,E Standard,The Who Song Pack,"December 3, 2013",None,
Pinball Wizard,The Who,1969,E Standard,The Who Song Pack,"December 3, 2013",None,
The Seeker,The Who,1970,E Standard,The Who Song Pack,"December 3, 2013",None,
Liar,One Ok Rock,2010,E♭ Drop D♭,None,"December 3, 2013",None,
